Sentence,Type,Terjemahan
It's a sure sign of fall in Worcester County when lone kestrels appear on the horizon and the sky fills with Canada and snow geese.,Visual,Ini adalah tanda pasti musim gugur di Worcester County ketika burung alap-alap muncul di cakrawala dan langit dipenuhi Kanada dan angsa salju.
Her scenes have no horizon line or vanishing point and consist of glowing color fields or grounds.,Visual,Pemandangannya tidak memiliki garis cakrawala atau titik hilang dan terdiri dari bidang atau dasar warna yang bersinar.
Show More Sentences,Visual,Tampilkan Lebih Banyak Kalimat
Just above the southeast horizon is the sparkling bright blue giant star Canopus.,Visual,Tepat di atas ufuk tenggara terdapat bintang raksasa Canopus berwarna biru terang yang berkilauan.
"The horizon is low, the masts and hulks of the ships making a series of horizontals and verticals receding far into the distance.",Visual,"Cakrawalanya rendah, tiang-tiang dan badan kapal membuat rangkaian horizontal dan vertikal menjauh jauh di kejauhan."
The maize was divided up into horizon touching plantations that Virginian tobacco growers would have gasped at.,Visual,Jagung dibagi menjadi perkebunan-perkebunan yang menyentuh cakrawala yang membuat para petani tembakau di Virginia akan terkesiap.
It is perched above the spodic horizon early in the summer rainy season and after heavy rainfall in other seasons.,Visual,Ia bertengger di atas cakrawala spodik pada awal musim hujan musim panas dan setelah hujan lebat di musim lainnya.
"The spodic horizon can be destroyed under cultivation, particularly if lime and nitrogen are applied.",Visual,"Cakrawala spodik dapat rusak pada saat budidaya, terutama jika menggunakan kapur dan nitrogen."
It is reasonable to expect the spodic horizon to influence pond hydrology and chemistry.,Visual,Masuk akal untuk memperkirakan bahwa horizon spodik akan mempengaruhi hidrologi dan kimia kolam.
Your observing site should have a low horizon just to the north of due east.,Visual,Lokasi pengamatan Anda harus memiliki cakrawala rendah tepat di sebelah utara timur.
"Clearly things were getting a little bit confused, and with satellite and cable television on the horizon something had to be done.",Visual,"Tentu saja segala sesuatunya menjadi sedikit membingungkan, dan dengan adanya televisi satelit dan kabel, sesuatu harus dilakukan."
From the ridge he could see for miles in all directions as the horizon stretched away into the misty mountains.,Visual,Dari punggung bukit dia bisa melihat bermil-mil ke segala arah sementara cakrawala terbentang hingga ke pegunungan berkabut.
"After successfully completing a static line jump, a combat rescue officer scans the horizon for other parachutists before recovering his own.",Visual,"Setelah berhasil menyelesaikan lompatan garis statis, petugas penyelamat tempur memindai cakrawala untuk mencari penerjun payung lainnya sebelum memulihkan miliknya."
"A thin white line emanates from her mouth, and that line also functions as a distant horizon on which a palm tree grows.",Visual,"Garis putih tipis keluar dari mulutnya, dan garis itu juga berfungsi sebagai cakrawala jauh tempat tumbuhnya pohon palem."
"Behind him all was dark, the faint outline of trees on the horizon swaying perilously below a threatening mass of cloud.",Visual,"Di belakangnya segalanya gelap, garis samar pepohonan di cakrawala bergoyang berbahaya di bawah awan yang mengancam."
"Bisho high-rise buildings dot the horizon and small hillocks surround the village of Masingata, close to King William's Town.",Visual,"Gedung-gedung tinggi Bisho tersebar di cakrawala dan bukit-bukit kecil mengelilingi desa Masingata, dekat Kota Raja William."
"Over the eighteen-year horizon from birth until university, shares are likely to outperform all other mainstream investments.",Visual,"Selama jangka waktu delapan belas tahun sejak lahir hingga universitas, kinerja saham cenderung mengungguli semua investasi arus utama lainnya."
I am not going to apologise for what may appear to be more heteronormative homo-social blindness to one's own horizon of intelligibility.,Visual,Saya tidak akan meminta maaf atas apa yang tampak sebagai kebutaan homo-sosial yang heteronormatif terhadap cakrawala pemahaman seseorang.
"The back commands terrific views over the Dean Village and the Firth and Forth, the horizon bristling with spires and treetops.",Visual,"Bagian belakang menyuguhkan pemandangan menakjubkan ke Desa Dean dan Firth and Forth, cakrawala dipenuhi menara dan puncak pohon."
"By 1930, no wetland and few trees were left in the region, and in many counties, cotton stretched from horizon to horizon.",Visual,"Pada tahun 1930, tidak ada lahan basah dan hanya sedikit pohon yang tersisa di wilayah tersebut, dan di banyak wilayah, kapas membentang dari cakrawala ke cakrawala."
"The sun was near the horizon and the sky was a bright mix of orange, pink, and purple.",Visual,"Matahari berada di dekat cakrawala dan langit cerah dengan perpaduan warna oranye, merah muda, dan ungu."
"Then suddenly out of the shimmering heat haze, they loom into sight on the horizon and it was worth the 5-year wait.",Visual,"Lalu tiba-tiba keluar dari kabut panas yang berkilauan, mereka mulai terlihat di cakrawala dan penantian selama 5 tahun itu layak dilakukan."
"After an hour we saw the horizon broken by a line of bushes, looking through the heat haze like a mirage.",Visual,"Satu jam kemudian kami melihat cakrawala terbelah oleh barisan semak-semak, memandang menembus kabut panas seperti fatamorgana."
Show More Sentences,Visual,Tampilkan Lebih Banyak Kalimat
On a good day the blue of the sea and the haziness of the land on the horizon is breathtaking.,Visual,"Pada hari yang baik, birunya laut dan kabut daratan di cakrawala sungguh menakjubkan."
"The construction consisted of orthogonals, transversals, horizon line and vanishing point.",Visual,"Konstruksinya terdiri dari ortogonal, transversal, garis horizon dan titik hilang."
Processing its own product is definitely on the horizon for the organic marketer.,Visual,Memproses produknya sendiri jelas merupakan hal yang mungkin dilakukan oleh pemasar organik.
One of the ship's officers triangulated the height of the wave using the ship's mast and the horizon to determine that it was 112 feet high.,Visual,Salah satu petugas kapal melakukan triangulasi ketinggian gelombang menggunakan tiang kapal dan cakrawala untuk menentukan tingginya 112 kaki.
Government and education will emerge on the technology horizon and banking and financial services will continue their strong run.,Visual,Pemerintahan dan pendidikan akan muncul di cakrawala teknologi dan perbankan serta jasa keuangan akan terus menunjukkan kinerja yang kuat.
Huge red mesas towered on the horizon and a flat unforgiving landscape rolled out before them.,Visual,Mesa merah besar menjulang di cakrawala dan pemandangan datar tak kenal ampun terhampar di hadapan mereka.
The sun is just starting to illuminate the horizon of a cloud-laden sky and the dragons are behind a bluff of trees right on the city limits.,Visual,Matahari baru saja mulai menyinari cakrawala langit yang dipenuhi awan dan para naga berada di balik tebing pepohonan tepat di batas kota.
Suddenly she stopped in her tracks and turned to the horizon where the sun was setting.,Visual,Tiba-tiba dia menghentikan langkahnya dan berbalik ke cakrawala tempat matahari terbenam.
A powerful telescope or binoculars so I could scan the horizon for rescuers and still look at the wildlife.,Visual,Teleskop atau teropong yang kuat sehingga saya dapat memindai cakrawala untuk mencari penyelamat dan tetap melihat satwa liar.
Her eyes were focused straight ahead on the horizon where the sun would set at any minute.,Visual,Matanya terfokus lurus ke depan pada cakrawala tempat matahari akan terbenam kapan saja.
"After scanning the horizon with his eagle-eye, he proceeds in search of another trip of fowl.",Visual,"Setelah mengamati cakrawala dengan mata elangnya, dia melanjutkan pencarian unggas lainnya."
It is only when the Sun is on the horizon that we get the mock suns exactly on the 22-degree halo.,Visual,"Hanya ketika Matahari berada di cakrawala, kita mendapatkan tiruan matahari tepat pada lingkaran cahaya 22 derajat."
"The view from the high ground includes endless chains of towering mountains, running from horizon to horizon.",Visual,"Pemandangan dari dataran tinggi mencakup rangkaian pegunungan menjulang tak berujung, membentang dari cakrawala ke cakrawala."
The generally horizontal format and evident horizon lines of the 11 oil paintings and three monotypes make it clear that these are landscapes.,Visual,Format umumnya horizontal dan garis cakrawala yang jelas dari 11 lukisan cat minyak dan tiga monotipe memperjelas bahwa ini adalah lanskap.
"The sun turned the chain of mountains on the western horizon an amber red, but it was slowly engulfed by the creeping darkness.",Visual,"Matahari mengubah rangkaian pegunungan di ufuk barat menjadi merah kuning, namun perlahan ditelan kegelapan yang merayap."
Two ships appeared on the horizon flying the flag that I was taught to be of Spain.,Visual,Dua kapal muncul di cakrawala mengibarkan bendera yang menurut saya berasal dari Spanyol.
The sun had barely made it over the horizon and twilight still ruled the sky.,Visual,Matahari baru saja mencapai cakrawala dan senja masih menguasai langit.
Tiny dots on the horizon testified that the other fishermen were still hauling in the catch out there.,Visual,Titik-titik kecil di cakrawala memberi kesaksian bahwa para nelayan lain masih mengangkut hasil tangkapan mereka ke luar sana.
We cannot afford to leave the matter aside until the next column of smoke clouds the horizon and yet more carnage is upon us.,Visual,Kita tidak bisa mengesampingkan masalah ini sampai gumpalan asap berikutnya menutupi cakrawala dan lebih banyak lagi pembantaian yang akan terjadi.
"Further back, twilight began to fall and consume two-thirds of the horizon and her path back home.",Visual,"Lebih jauh ke belakang, senja mulai turun dan menghabiskan dua pertiga cakrawala dan jalan pulangnya."
Show More Sentences,Visual,Tampilkan Lebih Banyak Kalimat
Across the dark horizon the moon silhouetted a small town which came into view soon enough.,Visual,"Di seberang cakrawala gelap, bulan membentuk siluet sebuah kota kecil yang segera terlihat."
"The pale sky of early dawn was blemished by flat, wispy clouds and a pallid moon, low in the horizon that had yet to disappear.",Visual,"Langit pucat di awal fajar ternoda oleh awan datar dan tipis serta bulan pucat, rendah di cakrawala yang belum menghilang."
"At sunrise when the red sky is reflected in calm water and the line of the horizon disappears, I have a still, calm sense of blessedness.",Visual,"Saat matahari terbit ketika langit merah terpantul di air yang tenang dan garis cakrawala menghilang, saya merasakan perasaan diberkati yang hening dan tenang."
"When this horizon paled, far-torn from light, with feeble hope of dawn your gaze alone could wake the morn.",Visual,"Ketika cakrawala ini memucat, jauh dari cahaya, dengan harapan lemah akan datangnya fajar, hanya tatapanmu yang mampu membangunkan pagi hari."
What was then just a cloud on the horizon is now a full-force storm with gale winds blowing.,Visual,Apa yang tadinya hanya berupa awan di cakrawala kini menjadi badai berkekuatan penuh disertai angin kencang yang bertiup.
A shadowy figure has appeared on the horizon to put these democratically unaccountable Johnny Come Latelys in their place.,Visual,Sesosok bayangan telah muncul untuk menggantikan Johnny Come Latelys yang tidak bertanggung jawab secara demokratis ini.
"As we approached the town, I was shocked to see a sea of red from horizon to horizon.",Visual,"Saat kami mendekati kota, saya terkejut melihat lautan merah dari cakrawala ke cakrawala."
"For the rest of the month Mercury sinks back down to the horizon while fading rapidly, and is out of sight well before the end of April.",Visual,"Selama sisa bulan tersebut, Merkurius tenggelam kembali ke cakrawala sambil memudar dengan cepat, dan menghilang dari pandangan jauh sebelum akhir April."
"At the close of day, a window opens at the horizon so that a purple giant can hang the moon in the sky.",Visual,"Di penghujung hari, sebuah jendela terbuka di cakrawala sehingga raksasa ungu dapat menggantungkan bulan di langit."
"They are all beyond the horizon, but the horizon is always changing as long as we are moving, both physically and intellectually.",Visual,"Semuanya berada di luar cakrawala, namun cakrawala selalu berubah selama kita bergerak, baik secara fisik maupun intelektual."
But just beyond the horizon a storm may be brewing with blinding rain and clawing winds of change that can tear our tranquil world apart.,Visual,"Namun di balik cakrawala, badai mungkin akan datang disertai hujan yang menyilaukan dan angin perubahan yang dapat menghancurkan dunia kita yang tenang."
"Other crops on the horizon include tomatoes, maincrop onions, which look to have done well, sprouting broccoli and beetroot.",Visual,"Tanaman lain yang akan segera tumbuh adalah tomat, tanaman utama bawang bombay, yang tampaknya tumbuh subur, brokoli yang bertunas, dan bit."
A massive full moon that looked like it was balancing on the horizon had me leaning on the drystone wall and staring at it in awe for ages.,Visual,Bulan purnama besar yang tampak seperti sedang menyeimbangkan cakrawala membuat saya bersandar pada dinding batu kering dan menatapnya dengan kagum selama berabad-abad.
"There was a sheer drop-off of a cliff to the bay, about a mile below, and on the horizon they could see the misty Isle of the Sea.",Visual,"Ada jurang terjal di teluk, sekitar satu mil di bawahnya, dan di cakrawala mereka bisa melihat Pulau Laut yang berkabut."
"The segment of my horizon it illumines grows shorter and ever shorter, and the night longer and longer.",Visual,"Bagian cakrawalaku yang diteranginya semakin pendek dan semakin pendek, dan malam semakin lama semakin panjang."
"With the bending of time around the event horizon of advanced capitalism, does change itself disappear?",Visual,"Dengan berubahnya waktu di sekitar cakrawala kapitalisme maju, apakah perubahan itu sendiri akan hilang?"
"Gosh only knows how, but alcohol was consumed and the event horizon of my return to Cambridge kept receding.",Visual,"Astaga hanya tahu caranya, tapi alkohol telah dikonsumsi dan cakrawala peristiwa kembalinya saya ke Cambridge terus surut."
"Whereas Adam's sin closed the event horizon to the heavenly dimension for mankind, the forgiveness of sin opens this event horizon.",Visual,"Jika dosa Adam menutup cakrawala peristiwa ke dimensi surgawi bagi umat manusia, maka pengampunan dosa membuka cakrawala peristiwa ini."
What humour there is is really so black that it could never escape the event horizon of laughter.,Visual,Humor yang ada di sana benar-benar begitu kelam sehingga tidak pernah bisa lepas dari cakrawala peristiwa tawa.
"Striking below an opponent's event horizon is a sound tactical strategy, and a concept that underlies all of our training.",Visual,"Menyerang di bawah cakrawala lawan adalah strategi taktis yang baik, dan sebuah konsep yang mendasari semua pelatihan kami."
Show More Sentences,Visual,Tampilkan Lebih Banyak Kalimat
"There's no threshold to reach, event horizon to cross, or moment of novelty to await.",Visual,"Tidak ada batasan yang harus dicapai, cakrawala peristiwa yang harus dilintasi, atau momen baru yang harus ditunggu."
The event horizon is where light loses the ability to escape from the black hole.,Visual,Cakrawala peristiwa adalah tempat cahaya kehilangan kemampuan untuk keluar dari lubang hitam.
An accretion disk forms as matter accelerates toward the event horizon of the black hole.,Visual,Cakram akresi terbentuk ketika materi berakselerasi menuju cakrawala peristiwa lubang hitam.
"But our poem's horizon expanded far beyond this confined duality to embrace the universal, the human, as well as the intimate and personal.",Visual,"Namun cakrawala puisi kami meluas melampaui dualitas yang terbatas ini, mencakup hal-hal yang universal, manusiawi, serta intim dan personal."
"Far on the horizon of the endless ocean, the shores of the mainland came into view.",Visual,"Jauh di cakrawala lautan tak berujung, pantai daratan mulai terlihat."
"For centuries, man has relied on the stars, circling planets and the constant horizon to guide him in his travels.",Visual,"Selama berabad-abad, manusia mengandalkan bintang-bintang, planet-planet yang berputar, dan cakrawala yang konstan untuk memandunya dalam perjalanannya."
"From June 6 to July 7 the sun never sets, Peter says, dipping to the horizon then rising once more high overhead.",Visual,"Dari tanggal 6 Juni hingga 7 Juli matahari tidak pernah terbenam, kata Peter, tenggelam ke cakrawala lalu terbit lagi tinggi di atas kepala."
"When Cassiopeia rose above the horizon the Southern Cross dipped below, and when the Cross rose again Cassiopeia disappeared.",Visual,"Ketika Cassiopeia naik ke atas cakrawala, Salib Selatan turun ke bawah, dan ketika Salib naik kembali, Cassiopeia menghilang."
"For example, an interesting notice to mariners indicates the point at which the pole star dips below the horizon and thus is no longer visible.",Visual,"Misalnya, pemberitahuan menarik bagi para pelaut menunjukkan titik di mana bintang kutub tenggelam di bawah cakrawala sehingga tidak terlihat lagi."
"The Schuylkill River appears in the foreground, with a domed building dimly silhouetted on the horizon of the distant plateau.",Visual,"Sungai Schuylkill muncul di latar depan, dengan bangunan berbentuk kubah yang siluetnya samar-samar di cakrawala dataran tinggi di kejauhan."
The anomalous platinum group element geochemistry of the ejecta horizon suggests that the impactor was an asteroid.,Visual,Geokimia unsur golongan platina yang anomali pada cakrawala ejecta menunjukkan bahwa penabraknya adalah asteroid.
What are the criteria that enables you to see over the horizon whether this customer's still worth dickering with?,Visual,Kriteria apa yang memungkinkan Anda melihat apakah pelanggan ini masih layak untuk dipermainkan?
The eerie yellowish glow on the horizon turned out to be vapor lights from a large greenhouse.,Visual,Cahaya kekuningan yang menakutkan di cakrawala ternyata adalah cahaya uap dari sebuah rumah kaca besar.
"Once he had gone, Rolin got off the bed and stared out the south window, at the black, pyramidical lump on the horizon that was Xyrdul-veil.",Visual,"Begitu dia pergi, Rolin turun dari tempat tidur dan menatap ke luar jendela selatan, ke gumpalan hitam berbentuk piramida di cakrawala yang merupakan kerudung Xyrdul."
"Finally, they stopped, seeing the sun almost touching the horizon as they now stood in a desolate area, a barren wasteland.",Visual,"Akhirnya mereka berhenti, melihat matahari hampir menyentuh cakrawala saat mereka kini berdiri di kawasan terpencil, gurun tandus."
She was now staring at a bleak and desolate landscape with nothing in the horizon but impassable mountains and valleys.,Visual,Dia sekarang menatap pemandangan yang suram dan terpencil tanpa apa pun di cakrawala kecuali pegunungan dan lembah yang tidak bisa dilewati.
A fourth target just over the horizon might be the promotion of local nitric oxide synthesis in bone by statins.,Visual,Target keempat mungkin adalah promosi sintesis oksida nitrat lokal dalam tulang melalui statin.
"The sea was its usual calm blue, a glassy liquid surface stretching till it fused with the horizon in a spectacle of colour.",Visual,"Lautnya berwarna biru tenang seperti biasanya, permukaan cairan seperti kaca membentang hingga menyatu dengan cakrawala dalam pemandangan warna-warni."
"Sets of geometric shapes painted in attractively unnatural enamel colors, the paintings are composed with horizon lines and often light grounds.",Visual,"Kumpulan bentuk geometris yang dilukis dengan warna enamel yang tidak alami dan menarik, lukisannya disusun dengan garis cakrawala dan seringkali dengan dasar terang."
Imagine or pretend that you are in a beautiful spot in nature looking out over a vast horizon where a wonderful future awaits you.,Visual,Bayangkan atau berpura-pura bahwa Anda berada di tempat yang indah di alam menghadap cakrawala luas di mana masa depan yang indah menanti Anda.
Show More Sentences,Visual,Tampilkan Lebih Banyak Kalimat
"If the conditions and western horizon are clear, the sky gazers could easily watch the event with naked eye till about 7.45 p.m., he says.",Visual,"Jika kondisi dan ufuk barat cerah, para pengamat langit dapat dengan mudah menyaksikan peristiwa tersebut dengan mata telanjang hingga sekitar pukul 19.45, katanya."
These rocks are thought to be Ordovician in age based on correlation with fossiliferous rocks at the same structural horizon near Nyalam.,Visual,Batuan ini diperkirakan berumur Ordovisium berdasarkan korelasi dengan batuan fosil pada cakrawala struktur yang sama dekat Nyalam.
Expected inflation varies by the forecast horizon considered by the forecaster.,Visual,Inflasi yang diharapkan bervariasi menurut jangka waktu perkiraan yang dipertimbangkan oleh peramal.
"He gazed longingly up at the immense, empty sky that cut across the nearby horizon through the naked trees and began tramping through the snow towards it.",Visual,Dia menatap penuh kerinduan ke langit luas dan kosong yang melintasi cakrawala di dekatnya melalui pepohonan gundul dan mulai berjalan menembus salju menuju ke sana.
"The aileron caused a turn, which the pilot rectified with rudder before realizing his error and returning his scan to the artificial horizon on the panel.",Visual,"Aileron menyebabkan belokan, yang diperbaiki oleh pilot dengan kemudi sebelum menyadari kesalahannya dan mengembalikan pemindaiannya ke cakrawala buatan di panel."
"Beyond the river, caramel plains rolled away to the distant horizon, spotted with acacia trees and slow-moving giraffe.",Visual,"Di balik sungai, dataran karamel membentang hingga ke cakrawala jauh, dipenuhi pepohonan akasia dan jerapah yang bergerak lambat."
"During this period, however, the brilliance of the moon and stars, and the reflected light of the sun from below the horizon confer twilight, not darkness, to the region.",Visual,"Namun, selama periode ini, kecemerlangan bulan dan bintang, serta pantulan cahaya matahari dari bawah cakrawala memberikan senja, bukan kegelapan, ke wilayah tersebut."
"We discovered the need to have a water analysis done to quantify the hardness, because a water softener to lower the dissolved mineral content was on the horizon.",Visual,"Kami menyadari perlunya melakukan analisis air untuk mengukur kekerasan, karena pelembut air untuk menurunkan kandungan mineral terlarut sudah di depan mata."
"Soon enough, an old watermill appeared across the horizon, and as they approached it he spotted the familiar stature of a young boy sitting on the topmost propeller.",Visual,"Tak lama kemudian, sebuah kincir air tua muncul di cakrawala, dan ketika mereka mendekatinya, dia melihat seorang anak laki-laki yang familiar duduk di baling-baling paling atas."
Better help may be on the horizon for many catfish farmers in the form of a natural-based algicide that kills blue-green algae but is much safer for other pond life.,Visual,Bantuan yang lebih baik mungkin akan segera tersedia bagi banyak petani ikan lele dalam bentuk algisida alami yang membunuh ganggang biru-hijau tetapi jauh lebih aman bagi kehidupan kolam lainnya.
"Queen Rosalind peered across the distance of the causeway towards the horizon with the giddy enthusiasm of a young maid about to receive a precious, long anticipated, gift.",Visual,Ratu Rosalind memandang dari kejauhan jalan lintas menuju cakrawala dengan antusiasme yang membara seperti seorang pelayan muda yang akan menerima hadiah berharga yang telah lama dinantikan.
"There against the purple horizon above the flat-topped dome rises the gray trickle of steam, barely visible, a thin ribbon unraveling into the night.",Visual,"Di sana, di balik cakrawala ungu, di atas kubah datar, muncul tetesan uap abu-abu, nyaris tak terlihat, seperti pita tipis yang terurai di malam hari."
"The soil consisted of a rendzina 28 cm in thickness, overlying a horizon that has been altered by cryoturbation and was situated on a gelifracted chalk layer.",Visual,"Tanah terdiri dari rendzina setebal 28 cm, menutupi cakrawala yang telah diubah oleh krioturbasi dan terletak di atas lapisan kapur yang difraksi gel."
Is subversion on the horizon or will Black Jesus sacrifice a historically political concept for the sake of a stoner comedy?,Visual,Apakah subversi akan segera terjadi atau akankah Black Jesus mengorbankan konsep historis politik demi komedi stoner?
Dawn had set the eastern horizon ablaze when they set out southward again.,Visual,Fajar telah menyinari ufuk timur ketika mereka kembali berangkat ke selatan.
"Its raging waters rushed past him and disappeared over the horizon in the distance, continuing on its predestined course in a wild frenzy, oblivious to his presence.",Visual,"Airnya yang mengamuk mengalir melewatinya dan menghilang ke cakrawala di kejauhan, melanjutkan jalur yang telah ditentukan dalam hiruk-pikuk liar, tidak menyadari kehadirannya."
"The weather seems to be either glorious, or absolutely appalling, and sea frets regularly come sailing in over the horizon from the nearby Solent.",Visual,"Cuacanya tampak bagus, atau benar-benar mengerikan, dan ikan-ikan laut sering datang berlayar melintasi cakrawala dari Solent di dekatnya."
If the object is below the horizon then the altitude is negative.,Visual,Jika benda berada di bawah cakrawala maka ketinggiannya negatif.
"The airplane's nose dropped through the horizon and speed started increasing to a bit more than 150 knots, then the nose started climbing and the bank angle shallowed out.",Visual,"Hidung pesawat turun melewati cakrawala dan kecepatan mulai meningkat hingga lebih dari 150 knot, kemudian hidung pesawat mulai menanjak dan sudut tepian menjadi dangkal."
"They can hear the sound of his boat's motor, growing louder as it comes over the horizon.",Visual,"Mereka dapat mendengar suara motor perahunya, yang semakin keras saat melintasi cakrawala."
Show More Sentences,Visual,Tampilkan Lebih Banyak Kalimat
"The interaction between the parts and the horizon brings the lunation cycle down to earth, projecting it, via the ascendant, into the sublunar sphere of the mundane houses.",Visual,"Interaksi antara bagian-bagian dan cakrawala membawa siklus bulan ke bumi, memproyeksikannya, melalui kekuasaan, ke dalam lingkup sublunar rumah-rumah duniawi."
"These submerged accounts locate a broader horizon of possibilities, and remind people that there are other histories to write and unscripted stories to tell.",Visual,"Kisah-kisah yang terendam ini menemukan cakrawala kemungkinan yang lebih luas, dan mengingatkan orang-orang bahwa ada sejarah lain yang perlu ditulis dan cerita tanpa naskah untuk diceritakan."
"Down here, the big-league dreams of the players are still just far-off lights on the horizon.",Visual,"Di sini, impian para pemain di liga besar masih belum jelas."
"Doctor Strange, Iron Fist, Black Panther and The Runaways are other projects on the horizon.",Visual,"Doctor Strange, Iron Fist, Black Panther, dan The Runaways adalah proyek lain yang akan segera hadir."
Approximately one degree of sign passes over the horizon every 5 minutes.,Visual,Kira-kira satu derajat tanda melewati cakrawala setiap 5 menit.
"From the top of a bluff on a clear day, with the sun melting the tarmac and baking my thighs, the deep-blue arc of the horizon looks like the edge of the earth.",Visual,"Dari puncak tebing di hari yang cerah, dengan matahari yang melelehkan aspal dan membakar pahaku, lengkungan cakrawala yang berwarna biru tua tampak seperti tepi bumi."
The sun was only a red smudge on the horizon when I arrived.,Visual,Matahari hanya berupa noda merah di cakrawala saat aku tiba.
As we scanned the horizon we could see nothing but flat water.,Visual,"Saat kami mengamati cakrawala, kami tidak melihat apa pun kecuali air datar."
A bolt of lightning flashed across the horizon and lit the sky.,Visual,Sambaran petir melintas di cakrawala dan menerangi langit.
"The sun's edge was already touching the line of the horizon and around it, the sky, the clouds, and the ocean were covered with a beautiful coat of orange.",Visual,"Tepian matahari sudah menyentuh garis ufuk dan disekitarnya, langit, awan, dan lautan tertutup lapisan warna jingga yang indah."
"The horizon glows red, and they can see rockets being fired.",Visual,"Cakrawala bersinar merah, dan mereka dapat melihat roket ditembakkan."
I can feel the distant rumble of thunder on the horizon and I'm sure that events are conspiring to ensure that I'll be well and truly wound up by the end of the week.,Visual,Saya dapat merasakan gemuruh guntur di kejauhan dan saya yakin bahwa berbagai peristiwa sedang berkonspirasi untuk memastikan bahwa saya akan baik-baik saja dan benar-benar pulih pada akhir minggu ini.
"Near a black hole, within hours of crossing the event horizon the astronaut would be stretched lengthways, squeezed sideways and torn to shreds in a process ailed spaghettification.",Visual,"Di dekat lubang hitam, dalam beberapa jam setelah melintasi cakrawala peristiwa, astronot akan diregangkan memanjang, terjepit ke samping, dan dicabik-cabik dalam proses spagetifikasi yang gagal."
"The air is blue, and the horizon appears blue to the sight on a clear day, and the air by reason of its thinness is not apt to terminate the strong and rigorous vital beams.",Visual,"Udara berwarna biru, dan cakrawala tampak biru jika dilihat pada hari cerah, dan udara karena tipisnya tidak cenderung menghentikan pancaran sinar vital yang kuat dan keras."
"In comparison, in an upland sandy soil the spodic horizon is much thinner and poorly developed, and the area below that horizon is a colored sandy layer, rather than gray.",Visual,"Sebagai perbandingan, pada tanah berpasir dataran tinggi, cakrawala spodik jauh lebih tipis dan kurang berkembang, dan area di bawah cakrawala tersebut merupakan lapisan berpasir berwarna, bukan abu-abu."
"He looked out to the azure ocean, out to the horizon where sea met sky.",Visual,"Dia memandang ke lautan biru, ke cakrawala tempat laut bertemu langit."
"As he sat on our lanai sewing and repairing the nets that had been brought to him, he would always cast a knowing eye toward the ocean and the horizon beyond.",Visual,"Saat dia duduk di lanai kami, menjahit dan memperbaiki jaring yang dibawa kepadanya, dia selalu mengarahkan pandangannya ke arah lautan dan cakrawala di baliknya."
"With no prayer of a quick fix, these huge international institutions are looking at an eight-year horizon for little Greece.",Visual,"Tanpa adanya harapan untuk adanya perbaikan yang cepat, lembaga-lembaga internasional yang besar ini sedang mempertimbangkan jangka waktu delapan tahun untuk Yunani kecil."
"It has also reminded me vividly of my schooldays, when the intellectual horizon of Chilean adolescents had more than a sliver reserved for paradox, mystery and ambiguity.",Visual,"Hal ini juga mengingatkan saya dengan jelas pada masa sekolah saya, ketika cakrawala intelektual remaja Chili tidak hanya berisi paradoks, misteri, dan ambiguitas."
In the darkening evening the horizon bulged with a dome of fluorescent white light glowing against the black of the sky as the convoy began to arrive.,Visual,"Di malam yang semakin gelap, cakrawala tampak menonjol dengan kubah cahaya putih berpendar yang menyinari hitamnya langit saat konvoi mulai berdatangan."
Show More Sentences,Visual,Tampilkan Lebih Banyak Kalimat
"Blue mesas poke above the distant horizon line, and a domed courthouse grows larger as you near Marfa.",Visual,"Mesa biru muncul di atas garis cakrawala, dan gedung pengadilan berbentuk kubah semakin besar saat Anda berada di dekat Marfa."
"The maximum obscuration of the sun takes place exactly at sunrise, so the best place to be to see it is the Yorkshire Coast with the horizon provided by the North Sea.",Visual,"Pengaburan maksimum matahari terjadi tepat saat matahari terbit, sehingga tempat terbaik untuk melihatnya adalah Pantai Yorkshire dengan cakrawala yang disediakan oleh Laut Utara."
"Visible even from a distance, its argentine spires punctured the horizon with needles of light, whilst its great walls reflected the rays of the rising sun.",Visual,"Terlihat bahkan dari kejauhan, menara-menara Argentinanya menembus cakrawala dengan jarum-jarum cahaya, sementara tembok-tembok besarnya memantulkan sinar matahari terbit."
"Asleep in a dream world, where the grass is still green and there is a horizon of dreams to visit the cloth covering her, though, takes on ominousness of a shroud.",Visual,"Tertidur di dunia mimpi, di mana rerumputan masih hijau dan ada cakrawala mimpi mengunjungi kain yang menutupi dirinya, namun mengambil sifat tak menyenangkan dari kain kafan."
I'm sure it will open a whole new horizon for your one-track mind.,Visual,Saya yakin ini akan membuka cakrawala baru bagi pikiran satu arah Anda.
"Dusk was setting in, and the horizon completely was obscured in haze.",Visual,"Senja mulai terbenam, dan cakrawala sepenuhnya tertutup kabut."
She scanned the hazy horizon for the dust cloud signalling horses.,Visual,Dia mengamati cakrawala kabur untuk mencari awan debu yang menandakan kuda.
"Row upon row of identical, featureless rectangular apartment blocks line up towards the horizon like vast tablets of stone handed down from the Politburo.",Visual,Baris demi baris blok apartemen persegi panjang yang identik dan tak berbentuk berjejer ke arah cakrawala seperti lempengan batu besar yang diturunkan dari Politbiro.
